U.S. trade commission probes Twitter,,2020-08-05T00:00:00Z,U.S. Federal; International; New York,,News,504,twitter investigate federal trade commission allege privacy violation another setback company struggle recent year protect private user datum account security ftc probe company use phone number upload security purpose target people advertising potential violation 2011 consent decree twitter agree well protect personal datum company say monday regulatory filing probe may lead probable loss 150 million 250 million san francisco base company say matter remain unresolved assurance timing term final outcome twitter say twitter 2011 settlement ftc bar company 20 year mislead consumer extent protect security privacy confidentiality nonpublic consumer information agreement spring 2009 hack social medium platform allow intruder send phony message account among issue settlement company also honour usersprivacy choice face fine much 16000 per violation order future ftc say time spokeswoman ftc decline comment twitter share fall one per cent extended trading close 3639 new york stock gain 14 per cent year following announcement q2 financial result receive draft complaint ftc allege violation 2011 consent order twitter spokesperson say follow standard accounting rule include estimate range settlement ftc fine big tech platform recent year datum lapse include recent record 5 billion fine facebook settlement google youtube allege collection child datum include 170 million fine twitter confirm 2019 use phone number provide company security purpose target user advertising current complaint say company violate term agreement misuse phone number email period 2013 2019 accord filingit unknown whether twitter face similar investigation high profile incident last month hacker take control account service famous user part bitcoin scam attacker gain access 130 twitter account include former president barack obama current democratic presidential candidate joe biden tesla ceo elon musk hacker access direct message link 36 account download personal datum seven twitter say twitter say hacker gain access account part trick employee phone three people charge last week attack copyright  2020 daily gleaner ,The Daily Gleaner (New Brunswick)
U.S. Trade Deals Slip In Protections for Big Tech,By David McCabe and Ana Swanson,2019-10-08T00:00:00Z,U.S. Federal; Missouri; New Jersey; New York; Oregon,,News,1402,washington trump administration begin insert legal protection recent trade agreement shield online platform like facebook twitter youtube lawsuit move could help lock america tech friendly regulation around world even newly question home protection stem 1990s law already tuck administration two big trade deal united states mexico canada agreement pact japan president trump sign monday american negotiator propose include language prospective deal include european union britain member world trade organization administration push late salvo global fight set rule internet rule trading good largely write often united states world far standard digital product country rush vacuum case write regulation far restrictive tech industry would prefer europe enact tough policy curb behavior company like facebook google pass law deal privacy hate speech disinformation china largely cordone rest internet allow beijing censor political content bolster chinese tech company like alibaba tencent india indonesia russia vietnam government introduce regulation ostensibly protect citizen privacy build domestic internet industry critic say stymie ability american company provide service country united states want permissive rule form basis worldwide regulation rise debate whether regime internet regulation fail protect consumer privacy encourage spread disinformation support powerful forum harassment bullying american rule codify section 230 communications decency act shield online platform many lawsuit relate user content protect legal challenge stem moderate content rule largely credit fuel silicon valley rapid growth language trade deal echo provision contain difference  freedom come intense criticism lawmaker advocate say 23year old law allow company like facebook google avoid responsibility harm associate content reach billion user anger compound revelation role silicon valley business practice spread disinformation treatment user datum leader house energy commerce committee say august inappropriate united states export language mirror section 230 serious policy discussion ongoing committee democratic chairman representative frank pallone jr new jersey ranking republican representative greg walden oregon warn mr trump top trade adviser robert lighthizer would mistake include protection trade deal go forward monday call mr lighthizer testify committee issue enmity toward section 230 bipartisan conservative raise concern light claim largely make without evidence major online platform like facebook biased position senator josh hawley republican missouri say liability shield cover large platform certify politically neutral white house also say draft executive order would narrow law protection last year congress overwhelmingly approve bill make possible sue online platform knowingly facilitate sex trafficking lawmaker raise prospect create additional carve online sale opioid critic section 230 say alarm inclusion provision trade deal trade agreement allocate power company expense individual say carrie goldberg new york lawyer challenge gay date app grindr ability use section 230 defend lawsuit american trade negotiator largely shrug concern insist new trade deal include language require partner limit legal liability online platform similar protection first appear last year draft pact canada mexico mr trump hope replace north american free trade agreement administration official say congress task negotiate trade agreement closely mirror american law law problem congress change say law mr lighthizer say congressional hearing june write 230 congress sign president number one number two think nowhere near problem see issue public morality like add put specific language make sure problem trade agreement completely prevent country pass legislation contradict term include legal liability make complicated risky country violate trade agreement member pact bring trade dispute may able impose tariff argue leave pact trump administration describe broad tech provision agreement gold standard digital economy say plan use future negotiation include european union britain leave bloc rule also provide open access government datum protection company source code algorithm also part united states proposal negotiation e commerce dozen country world trade organization tech industry provide vocal support provision way discourage country make platform liable content argue legal exposure could clamp many kind normal business activity include host user review rating could become tool government hope crack free speech fail include protection part law two decade trade agreement would negatively impact countless small business entrepreneur use online platform export advertise business say michael beckerman president internet association represent company include google amazon facebook ebay twitter idea powerful supporter senator ron wyden oregon top democrat finance committee jurisdiction trade mr wyden also personal connection issue co write section 230 serve house interview mr wyden reject idea trade agreement end run around congress know people try say oh goodness brand new thing somebody talk trade 230 say get real mr wyden say strong digital trade agreement support free speech include principle online business able moderate content generate user without treat speaker regardless country around world weigh whether increase responsibility company user content platform raise prospect american trade effort enshrine communications decency act protection may run aground think chance major economy like eyou go accept cda 230 say daphne keller director intermediary liability stanford law school center internet society sure net effect,The New York Times
US Treasury Chief: Facebook Currency Plan Ripe for Illicit Use,,2019-07-16T00:00:00Z,U.S. Federal; California,,News,850,jul 16 2019  trump administration come strongly monday facebook ambitious plan create new digital currency treasury chief warn could use illicit activity money laundering human trafficking finance terrorism treasury secretary steven mnuchin express serious concern currency propose social network giant call libra indeed national security issue mnuchin tell reporter white house comment come day president donald trump tweet libra little standing dependability trump fresh social medium summit lead white house gather conservative critic big tech tweet last week fan bitcoin cryptocurrencies money whose value highly volatile base thin air unregulated crypto assets facilitate unlawful behavior include drug trade illegal activity want get financial business facebook dozen partner company venture accept kind tight regulation bank president say treasury chief comment go though tie libra directly concern potential use money laundering drug human trafficking tax evasion crime facebook lot work get point comfortable mnuchin say tuesday congress begin two day hearing facebook libra plan head federal reserve also raise alarm plan last week facebook plan raise lot serious concern would include around privacy money laundering consumer protection financial stability fed chairman jerome powell say congressional testimony go need thoroughly publicly assess evaluate proceed federal reserve board chair jerome powell speak news conference follow two day meeting federal open market committee may 1 2019 washington unlike mnuchin powell head central bank independent regulator separate administration political influence already intense scrutiny regulator congress privacy market dominance facebook stir anger capitol hill last month unveiling plan create new financial ecosystem base digital currency senate house hearing go calendar democratic head house financial services committee call facebook suspend plan congress regulator review rep maxine waters calif say facebook 2 billion user around world continue unchecked expansion extend reach life user call libra new swiss base financial system potentially big fail could require taxpayer bailout david marcus facebook executive lead project say testimony prepare tuesday hearing financial services panel libra develop safe secure low cost way people move money efficiently around world believe libra make real progress toward build inclusive financial infrastructure facebook agree powell view government review libra must patient thorough rather sprint implementation marcus statement say time launch design open process subject regulatory oversight review fact expect broad extensive careful pre launch oversight regulator central bank fintech history know need take time get right plan digital currency bill stablecoin back deposit sovereign currency dollar euro japanese yen unlike bitcoin ether digital currency promising low fee could open online commerce million people around world lack access bank account make cheap send money across border also raise concern privacy user datum potential criminal use money laundering fraud address privacy concern facebook create nonprofit oversight association dozen partner include paypal uber spotify visa mastercard govern libra one among many association facebook say special right privilege also create digital wallet subsidiary calibra work technology separately main social medium business facebook control calibra see financial datum calibra company say,Federal NewsFeed
US Treasury chief: Facebook’s currency plan ripe for illicit use,Marcy Gordon AP Business Writer,2019-07-16T00:00:00Z,California; Delaware,,News,531,washington trump administration come strongly monday facebook ambitious plan create new digital currency treasury chief warn could use illicit activity money laundering human trafficking finance terrorism treasury secretary steven mnuchin express serious concern currency propose social network giant call libra indeed national security issue mnuchin tell reporter white house comment come day president trump tweet libra little standing dependability trump fresh social medium summit lead white house gather conservative critic big tech tweet last week fan bitcoin cryptocurrencies money whose value highly volatile base thin air unregulated crypto assets facilitate unlawful behavior include drug trade illegal activity want get financial business facebook dozen partner company venture accept kind tight regulation bank president say treasury chief comment go though tie libra directly concern potential use money laundering drug human trafficking tax evasion crime treasury department serious concern libra could misuse money launderer terrorist financer say facebook lot work get point comfortable mnuchin say tuesday congress begin two day hearing facebook libra plan head federal reserve also raise alarm plan last week facebook plan raise lot serious concern would include around privacy money laundering consumer protection financial stability fed chairman jerome powell say congressional testimony go need thoroughly publicly assess evaluate proceed unlike mnuchin powell head central bank independent regulator separate administration political influence already intense scrutiny regulator congress privacy market dominance facebook stir anger capitol hill last month unveiling plan create new financial ecosystem base digital currency senate house hearing go calendar democratic head house financial services committee call facebook suspend plan congress regulator review rep maxine waters calif call libra new swiss base financial system potentially big fail could require taxpayer bailout david marcus facebook executive lead project say testimony prepare today hearing financial services panel libra develop safe secure low cost way people move money efficiently around world believe libra make real progress toward build inclusive financial infrastructure,Newsbank - Delaware News Sources
US Treasury has 'serious concerns' Libra could be used for terrorism,Christine Fisher,2019-07-15T00:00:00Z,U.S. Federal,,News,516,jul 15 2019  us government view cryptocurrencie include facebook back libra national security issue press conference  today treasury secretary steven mnuchin say treasury department serious concern libra could misuse money launderer terrorist financier bad player concern entirely surprising make us government stance cryptocurrency clear accord mnuchin us forefront regulate entity provide cryptocurrencie also see cryptocurrencie exploit support illicit activity include cyber crime tax evasion extortion ransomware human trafficking still mnuchin say us welcome responsible innovation include new technology may improve efficiency financial system expand access financial service respect facebook libra development cryptocurrencie override goal maintain integrity financial system protect abuse mnuchin say note facebook  meet safeguard traditional financial institution include put place anti money laundering council financial crimes enforcement network bank secrecy act come surprise facebook likely prepared meet standard navigate pushback like treasury department president claim cryptocurrencie highly volatile base thin air  lawmaker call facebook halt libra development want block big tech company  provide cryptocurrencie facebook schedule testify  senate hearing tomorrow say launch libra regulatory issue address cnbc article originally appear engadget        ,Newstex Blogs
"[US-Trump-Social-Media, 10th Writethru code:2 Update:Updates from conference, trims. With AP Photos]",,2019-07-12T00:00:00Z,U.S. Federal; International; Rhode Island,,News,1121,us trump social media 10th writethrucode2update update conference trim ap photos ap video see photo dcev104 710 2019 113238 dcev305 711 2019 205807 dcev316 711 2019 210506 dcev314 711 2019 211006 dcev102 711 2019 211323 dcev108 711 2019 213230 dcev113 711 2019 211802 dcev117 711 2019 205224see videoindex international businesshl trump applaud far right social medium provocateursby kevin freking marcy gordonthe associated presswashington president donald trump use white house conference thursday applaud far right social medium provocateur even concede extreme view trump weaponize social medium eviscerate opponent promote lead social medium summit like minded critic big tech exclude representative platform exploit president use event air grievance treatment big tech also praise caustic voice right help energize trump political base guy tell mean genius bad trump single praise james okeefe right wing activist whose project veritas organization try plant false story washington post may 2010 okeefe three plead guilty federal court misdemeanour scheme pose telephone repairman sen mary landrieu new orleans district office controversial truthful trump insist okeefe play friendly crowd east room trump ease joke everything spelling tweet  hair  amazing creativity determination bypass corrupt establishment corrupt trump say bypass corrupt medium lengthy remark say challenge medium gatekeeper corporate censor bring truth american people communicate directly citizen without go fake news filter earlier thursday trump send stream twitter message lash social medium company press familiar target resonate conservative base meeting represent escalation trump battle company like facebook google even preferred communication outlet twitter estimate 61 million follower president claim without evidence company even suggest regulator sue ground anti conservative bias announce thursday direct administration explore regulatory legislative solution protect free speech free speech right americans trump say invite executive major social medium platform join white house next month firm already close scrutiny ever regulator congress follow stream scandal include facebook lapse open personal datum million user trump 2016 campaign bipartisan push new datum privacy legislation emerge congress regulator justice department federal trade commission pursue antitrust investigation facebook google apple amazon trump unlease volley twitter message thursday lead conference target familiar certain company press democratic rival president predict without foundation demise press social medium platform lose democrat 2020after conference trump publish series tweet slam bitcoin type digital currency include facebook recently announce libra among conservative organization participate white house meeting turn point usa non profit prageru short prager university put short video conservative perspective politic economic media research center heritage foundation washington think tank accusations commonly level conservative social medium platform include anti religious bias tilt abortion foe censorship conservative political view trump make priority reach voter oppose abortion anti abortion group live action susan b anthony list say twitter block advertising twitter policy prohibit pay ad content inflammatory provocative likely evoke strong negative reaction lila rose president live action say event group ban advertising twitter planned parenthood allow pinterest also suspend group platform say double standard bias grow problem big tech rose say silicon valley company executive may lean liberal assert product without political bias representative facebook google twitter decline comment specifically white house meeting internet association industry major trade group represent facebook google dozen company say online platform good tool promote voice political perspective history internet company biased political ideology conservative voice particular use social medium great effect group president michael beckerman say statement thursday facebook ban extremist figure alex jones infowars louis farrakhan nation islam twitter ban hate speech basis someone race gender category twitter broaden policy week include ban language dehumanize base religion company say may also ban similar language aim group define gender race sexual orientation never see evidence tech firm bias conservative say rep david cicilline ri sharply critical big company market dominance effect competition lead house judiciary subcommittee open bipartisan probe tech giant market conduct someone want show empirical datum instead alt right member paranoid claim would appreciate cicilline say statement wednesday,Thunder Bay Chronicle (12 hour delay)
US-UK trade-deal hurdles; virus has 3rd-party Amazon sellers stockpiling,Tim Lawson,2020-03-05T00:00:00Z,U.S. Federal; Connecticut; Iowa,,News,422,welcome daily intel roundup exclusive news analysis sampp global market intelligence curate journalist editor pickamazon third party seller stockpile seek new source coronaviru spreadswhile large company may wherewithal withstand supply chain disruption cause virus independent entrepreneur account 60 good sale amazoncom less equipped bounce back normalcy among issue chinese factory resume full production prioritize big client potentially extend ripple effect virus month longer small seller global marketsus uk trade negotiator get back work face tough choice tech foodafter brexit k keen hash bilateral trade deal neither side show inclination budge propose tax tech giant k concern safety american agricultural product energy utilitiespassive fund manager big buyer cheap shale gas stock q419despite headline make reset investment strategy away fossil fuel blackrock inc buyer appalachian shale stock include troubled chesapeake energy corp lawmaker want connecticut insurer turbocharge dash fossil fuelsa lawmaker hub global insurance industry want state lead european style push low carbon economy start bill require insurance commissioner report climate change financialslegal battle brewing iowa regulator object credit union bank deala credit union finalize purchase seven bank branch without get approval iowa division banking legal battle could set precedent kind acquisition banker feel unfair technology medium telecommunicationsa look top democratic candidate stand key tech issuesbreak big tech hold platform responsible bad behavior user sampp global market intelligence break implication tech industry administration helm joe biden bernie sanders want sector focus newsread depth coverage financials real estate energy amp utilities materials healthcare industrials consumer tmt market intelligence platform subscribe weekly newsletter include weekly news spotlight essential healthcare consumer edge esg insider private equity pulse next,SNL Financial Extra
US:US stocks tumble on weak Chinese data,,2015-07-25T00:00:00Z,U.S. Federal; International,,News,448, stock us close update new york july 24 afp us stock sink deep red weak chinese factory datum us home sale number outweigh amazon unexpected blockbuster swing profit dow jones industrial average friday would 16339 point  1756853 broad base sampp 500 drop 2250  207965 tech rich nasdaq composite index lose 5778 point  508863 despite blow earning report internet kingpin amazoncom mostly well expect result consumer stalwart unexpected decline us new home sale disappointing read chinese manufacturing output sap sentiment say charles schwab amp co fall crude oil price pressure dow member chevron exxonmobil 25 per cent 15 per cent respectively insurer anthem seal us542 billion  deal buy rival cigna consolidation us health insurance industry wake us affordable care act share fall though cigna dive 56 per cent 29 per cent anthem 28 per cent amazon share rocket 10 per cent company blow expectation loss second quarter report market close thursday net profit us92 million 20 per cent jump revenue year ago amazon leapfrog wal mart stores world big retailer score market value us24704 billion compare wal mart us23053 billion walmart share lose 13 per cent big tech name sink google would 32 per cent apple fall 05 per cent dow member intel lose 19 per cent biogen plummet 221 per cent biotech company lower 2015 forecast largely blame slow demand growth multiple sclerosis treatment tecfidera biotech share feel pressure amgen would 34 per cent celgene lose almost 30 per cent dow visa one three gainer add 43 per cent earning beat expectation american airlines plunge nearly 70 per cent report record quarterly profit us17 billion april june period announce new us2 billion share buyback program atampt rise 11 per cent us49 billion acquisition satellite broadcaster directv win final regulatory approval clear way new powerhouse broadband video service bond price rise yield 10year us treasury fall 226 per cent 227 per cent thursday 30year slip 296 per cent 297 per cent bond price yield move opposite direction afp hlv,AAP Newsfeed
US warns companies with China-links may fall afoul of lobbying rules,,2020-07-16T00:00:00Z,U.S. Federal; International,,News,259, washington  us attorney general bill barr issue sharp warning us business say disclose link china aware could otherwise end fall afoul lobby regulation american corporate leader may think lobbyist alert might use barr say hard hit policy speech step rhetoric beijing tension rise world two large economy use address blast hollywood big tech company research institution accuse often cosy rule chinese communist party hollywood regularly censor move appease chinese rule party barr charge barr indicate major company face extortion pressure lobbying beijing argue china hiding behind american voice interfere domestic politic warn business disclose lobbying behalf foreign government regulation know fara failure could lead prosecution attorney general directly accuse big us technology company include apple willing collaborate beijing globalization always point direction great freedom world march beat communist chinese drum hospitable one institution depend free market free trade free exchange idea barr say copyright dpa,dpa-AFX International ProFeed
US warns companies with China-links may fall afoul of lobbying rules,,2020-07-16T00:00:00Z,U.S. Federal; International,,News,247,us attorney general bill barr issue sharp warning us business say disclose link china aware could otherwise end fall afoul lobby regulation american corporate leader may think lobbyist alert might use barr say hard hit policy speech step rhetoric beijing tension rise world two large economy use address blast hollywood big tech company research institution accuse often cosy rule chinese communist party hollywood regularly censor move appease chinese rule party barr charge barr indicate major company face extortion pressure lobbying beijing argue china hide behind american voice interfere domestic politic warn business disclose lobbying behalf foreign government regulation know fara failure could lead prosecution attorney general directly accuse big us technology company include apple willing collaborate beijing globalization always point direction great freedom world march beat communist chinese drum hospitable one institution depend free market free trade free exchange idea barr say,dpa international (Englischer Dienst)
